s,x1(0),x2(0),x1*,x2*,y*,function_calls
0.1,-0.11648965814417012,0.5249460713185363,1.4248105829890251e-05,0.7747507588185364,0.619837239527107,338
0.1,-0.8011630826875162,-0.31518362258908983,-0.7746982389375162,-4.69038390898116e-05,0.6198372742794009,315
0.1,0.01091473554054656,0.6778074295130134,-2.2764459453439908e-05,0.7746824295130134,0.6198372457908505,195
0.1,-0.5976564364997523,0.428152005142584,-0.7747072177497523,0.7747340363925841,1.2396744021271116,311
0.1,-0.053870596272758586,-0.5673404059860969,3.565372724141668e-05,-0.7747622809860969,0.6198373029170425,277
0.1,-0.6737783454670561,-0.7869159585938599,-0.7747549079670562,-0.7747089273438599,1.2396744388147094,254
0.1,-0.9976182956068447,-0.23396208026388798,-0.7746690768568447,2.2294736112029256e-05,0.6198372784473394,330
0.1,0.0783698992401356,0.647851257152025,-4.8069509864405636e-05,0.7747067259020249,0.6198372707911046,282
0.1,0.40276496925116767,-0.6131307067641734,0.7747376255011675,-0.7747518005141731,1.2396744450714374,304
0.1,-0.3041136094028223,-0.06029569652371358,-1.204690282226561e-05,-4.179027371357889e-05,6.02318606102159e-08,309
0.1,0.456331304250164,0.24448844635208444,0.774690679250164,-4.280364791557048e-05,0.6198372726034864,258
0.1,0.15268103193203775,0.01042049760064212,4.4313182037738894e-05,-2.8721149357880418e-05,8.879483970325452e-08,294
0.1,0.7498685986643576,-0.6020603980713419,0.7746732861643576,-0.7747166480713418,1.2396744456298892,243
0.1,0.02728988292943657,0.7478819402460541,4.378917943656928e-05,0.7747374089960541,0.61983727045663,263
0.1,0.2361459195857729,0.2862807349987986,1.3107085772898978e-05,-4.7390001201435346e-05,7.698271220490938e-08,254
0.1,0.8232654345714554,0.06285896671753033,0.7747302783214554,-3.165828246967444e-05,0.6198372332349726,271
0.1,-0.7647333486504007,-0.5246394675092592,-0.7746942861504005,-0.7747371237592592,1.2396744180439931,264
0.1,-0.014823167899724599,-0.9910656027653943,2.058210027540224e-05,-0.7747570090153945,0.6198372614579171,275
0.1,0.12378239386234302,0.17600685766175572,-4.573113765698599e-05,3.0295161755712564e-05,9.581838300576351e-08,237
0.1,0.05404670297354808,-0.18803779444239632,4.279672354807451e-05,4.8143057603688315e-05,1.3212457217193219e-07,315
0.1,0.122414785533695,-0.9448151103857132,-4.615196630500376e-05,-0.7746979228857132,0.6198372723995886,294
0.1,-0.12808392977468475,0.5277860834791634,4.107022531526106e-05,0.7747587397291634,0.619837306238495,220
